table,scope,key,bin_order,actual_mass,iid_mass,delta,ratio,abs_delta,L1_share,from_bin,from_actual_mass,from_iid_mass,conditional_actual,conditional_iid,conditional_delta,abs_conditional_delta
transition,balanced|tail_64_95|even,16-31 -> 8-15,4,0.0006081826984882349,0.0008809446786064698,-0.0002727619801182349,0.6903755857295082,0.0002727619801182349,0.015322248574630765,16-31,0.0066534151911736535,0.009543859494613153,0.0914091005916846,0.09230486671599702,-0.0008957661243124276,0.0008957661243124276
transition,balanced|tail_64_95|even,32-63 -> 16-31,5,0.0006081826984882349,0.0008809446786064698,-0.0002727619801182349,0.6903755857295082,0.0002727619801182349,0.015322248574630765,32-63,0.012099107933043893,0.017531564219302118,0.050266738825200996,0.050249063208892476,1.7675616308519826e-05,1.7675616308519826e-05
transition,balanced|tail_64_95|even,32-63 -> 32-63,5,0.011490925234555699,0.01665061954069409,-0.00515969430613839,0.6901199806092437,0.00515969430613839,0.2898428831374881,32-63,0.012099107933043893,0.017531564219302118,0.9497332611748023,0.9497509367910186,-1.7675616216350498e-05,1.7675616216350498e-05
transition,balanced|tail_64_95|even,64-95 -> 32-63,6,0.0006081826984882349,0.0008809446786064698,-0.0002727619801182349,0.6903755857295082,0.0002727619801182349,0.015322248574630765,64-95,0.011115739029645475,0.016416506953005214,0.05471365393396,0.05366212685367904,0.001051527080280959,0.001051527080280959
transition,balanced|tail_64_95|even,64-95 -> 64-95,6,0.010507556331157315,0.01553556227439581,-0.005028005943238495,0.6763550713883616,0.005028005943238495,0.2824453645028759,64-95,0.011115739029645475,0.016416506953005214,0.9452863460660467,0.9463378731461422,-0.0010515270800954823,0.0010515270800954823
transition,balanced|tail_64_95|even,96-127 -> 64-95,7,0.00027310276031494143,0.00042794573965085965,-0.00015484297933591822,0.6381714666390951,0.00015484297933591822,0.008698215999139327,96-127,0.0016510959267616273,0.0025811557932566066,0.165406961454136,0.16579616804568265,-0.00038920659154664805,0.00038920659154664805
transition,balanced|tail_64_95|even,96-127 -> 96-127,7,0.0013779931664466842,0.002153210053605841,-0.0007752168871591569,0.6399715458039259,0.0007752168871591569,0.04354736623907508,96-127,0.0016510959267616273,0.0025811557932566066,0.834593038545863,0.8342038319543539,0.00038920659150909476,0.00038920659150909476
transition,balanced|tail_64_95|odd,0-1 -> 0-1,0,0.0005679587662220008,0.0005765913683382402,-8.632602116239417e-06,0.9850282147977364,8.632602116239417e-06,0.008994373519736186,0-1,0.0005679587662220008,0.0005765913683382402,1.0,1.0,0.0,0.0
transition,balanced|tail_64_95|odd,2-3 -> 0-1,1,0.0005679587662220008,0.0005765913683382402,-8.632602116239417e-06,0.9850282147977364,8.632602116239417e-06,0.008994373519736186,2-3,0.0010498661756515484,0.0010147507790838177,0.5409820598035029,0.568209830653024,-0.027227770849521105,0.027227770849521105
transition,balanced|tail_64_95|odd,2-3 -> 2-3,1,0.0004819074094295508,0.00043815941074558086,4.374799868396995e-05,1.0998449368222571,4.374799868396995e-05,0.04558137113308373,2-3,0.0010498661756515484,0.0010147507790838177,0.45901794019650016,0.43179016934697934,0.027227770849520827,0.027227770849520827
transition,balanced|tail_64_95|odd,4-7 -> 2-3,2,0.0005679587662220008,0.0005765913683382402,-8.632602116239417e-06,0.9850282147977364,8.632602116239417e-06,0.008994373519736186,4-7,0.001778230357170102,0.0018175892740553948,0.3193954956015133,0.3172286371671598,0.0021668584343534913,0.0021668584343534913
transition,balanced|tail_64_95|odd,4-7 -> 4-7,2,0.0012102715909481025,0.0012409979057171566,-3.0726314769054155e-05,0.9752406393052712,3.0726314769054155e-05,0.03201398004872381,4-7,0.001778230357170102,0.0018175892740553948,0.6806045043984873,0.6827713628328413,-0.0021668584343540465,0.0021668584343540465
transition,balanced|tail_64_95|odd,8-15 -> 4-7,3,0.0005679587662220008,0.0005765913683382402,-8.632602116239417e-06,0.9850282147977364,8.632602116239417e-06,0.008994373519736186,8-15,0.00340855461359024,0.0033259858125036265,0.16662745081375366,0.17335953934939147,-0.006732088535637809,0.006732088535637809
transition,balanced|tail_64_95|odd,8-15 -> 8-15,3,0.00284059584736824,0.002749394444165379,9.120140320286081e-05,1.033171451043121,9.120140320286081e-05,0.09502343266666596,8-15,0.00340855461359024,0.0033259858125036265,0.8333725491862465,0.8266404606506064,0.006732088535640113,0.006732088535640113
transition,balanced|tail_64_95|odd,16-31 -> 16-31,4,0.005765786468982853,0.0056684644375997436,9.732203138310917e-05,1.0171690291884974,9.732203138310917e-05,0.10140056151927647,16-31,0.00633374523520487,0.006245055805937921,0.9103281320718221,0.9076723433295916,0.0026557887422304916,0.0026557887422304916
transition,balanced|tail_64_95|odd,16-31 -> 8-15,4,0.0005679587662220008,0.0005765913683382402,-8.632602116239417e-06,0.9850282147977364,8.632602116239417e-06,0.008994373519736186,16-31,0.00633374523520487,0.006245055805937921,0.08967186792817532,0.09232765667041852,-0.0026557887422432036,0.0026557887422432036
transition,balanced|tail_64_95|odd,32-63 -> 16-31,5,0.0005679587662220008,0.0005765913683382402,-8.632602116239417e-06,0.9850282147977364,8.632602116239417e-06,0.008994373519736186,32-63,0.010943974286316598,0.011474927956814077,0.051896939024439,0.05024792926877131,0.001649009755667695,0.001649009755667695
